,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,NOC_advantage,Height_div_avg,Weight_div_avg,Age_div_avg
227647,114375,Brian E. Stanton,M,27.0,196.0,82.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's High Jump,,0,0,0.3,13.58,2.82,2.18
227667,114385,Raivydas Stanys,M,25.0,194.0,80.0,Lithuania,LTU,2012 Summer,2012,Summer,London,Athletics,Athletics Men's High Jump,,0,0,0.0,8.49,-5.64,-0.67
227686,114397,Ian Stapleton,M,20.0,183.0,68.0,Jamaica,JAM,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres,,0,0,0.1,0.47,-10.56,-4.27
227699,114406,Brandon Starc,M,22.0,188.0,71.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,,0,0,0.0,2.9,-13.18,-3.82
227807,114437,Dmitry Andreyevich Starodubtsev,M,22.0,183.0,75.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Pole Vault,,0,0,0.05,-2.14,-10.37,-3.54
227808,114437,Dmitry Andreyevich Starodubtsev,M,26.0,183.0,75.0,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Pole Vault,,0,0,0.0,-2.51,-10.64,0.33
227855,114461,Marcin Micha Starzak,M,22.0,178.0,76.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Long Jump,,0,0,0.08,-7.14,-9.37,-3.54
228115,114580,Stephan Steding,M,26.0,201.0,106.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Javelin Throw,,0,0,0.18,15.86,20.63,0.46
228137,114588,Andrew Steele,M,23.0,182.0,78.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,,0,0,0.09,-3.14,-7.37,-2.54
228262,114652,Fotis Stefani,M,20.0,187.0,78.0,Cyprus,CYP,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Pole Vault,,0,0,0.0,3.41,-2.31,-5.05
228263,114652,Fotis Stefani,M,28.0,187.0,78.0,Cyprus,CYP,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Pole Vault,,0,0,0.0,2.21,-6.27,2.23
228332,114687,Bjarni Stefnsson,M,21.0,180.0,70.0,Iceland,ISL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,0,0.0,-1.69,-8.52,-3.58
228333,114687,Bjarni Stefnsson,M,21.0,180.0,70.0,Iceland,ISL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,,0,0,0.0,-1.69,-8.52,-3.58
228334,114687,Bjarni Stefnsson,M,25.0,180.0,70.0,Iceland,ISL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,,0,0,0.0,-2.84,-11.39,0.61
228335,114687,Bjarni Stefnsson,M,25.0,180.0,70.0,Iceland,ISL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres,,0,0,0.0,-2.84,-11.39,0.61
228468,114739,Petr Stehlk,M,27.0,185.0,120.0,Czech Republic,CZE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Shot Put,,0,0,0.0,0.02,34.97,1.31
228469,114739,Petr Stehlk,M,31.0,185.0,120.0,Czech Republic,CZE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Shot Put,,0,0,0.0,-0.14,34.63,5.46
228540,114773,Manfred Steinbach,M,27.0,182.0,73.0,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Long Jump,,0,0,0.09,0.76,-5.02,2.96
228594,114796,Andreas Steiner,M,24.0,186.0,78.0,Austria,AUT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Long Jump,,0,0,0.0,3.58,-1.18,-0.82
228627,114813,Rudolf Steiner,M,37.0,178.0,101.0,Switzerland,SUI,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Javelin Throw,,0,0,0.0,-4.42,21.82,12.18
228691,114840,Dieter-Jrgen Steinmann,M,26.0,180.0,74.0,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,,0,0,0.14,-2.84,-7.39,1.61
228699,114843,"Theodor Johannes ""Teddy"" Steinmayr",M,24.0,191.0,92.0,Austria,AUT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Long Jump,,0,0,0.0,8.58,12.82,-0.82
228747,114865,Nenad Steki,M,25.0,181.0,73.0,Yugoslavia,YUG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Long Jump,,0,0,0.0,-1.84,-8.39,0.61
228748,114865,Nenad Steki,M,29.0,181.0,73.0,Yugoslavia,YUG,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,,0,0,0.0,-1.53,-5.56,4.73
228749,114865,Nenad Steki,M,33.0,181.0,73.0,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Long Jump,,0,0,0.0,-0.62,-4.12,8.97
228790,114890,Michael W. Stember,M,22.0,180.0,68.0,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",,0,0,0.28,-4.79,-16.27,-3.77
228859,114921,Gary Michael Stenlund,M,28.0,186.0,84.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Javelin Throw,,0,0,0.33,4.42,5.92,3.48
228922,114941,Rdiger Stenzel,M,24.0,180.0,65.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,0,0,0.11,-3.59,-15.31,-1.05
228941,114949,Oleg Stepanenko,M,28.0,183.0,69.0,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.26,1.42,-9.08,3.48
229003,114979,"David Eldon ""Dave"" Stephens",M,26.0,190.0,104.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Javelin Throw,,0,0,0.3,7.58,24.82,1.18
