,index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
1485,57599,29498,Dudley S. Dorival,M,28.0,185.0,77.0,Haiti,HAI,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-1.13,-3.53,2.77
1486,57600,29498,Dudley S. Dorival,M,32.0,185.0,77.0,Haiti,HAI,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-2.38,-3.36,6.43
1487,57744,29568,Anderson Jorge Oliveira dos Santos,M,32.0,186.0,69.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,,0,0,5.23,-3.9,7.89
1488,57798,29593,Nelson Rocha dos Santos,M,28.0,168.0,51.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,,0,0,-8.28,-18.83,4.17
1489,57800,29593,Nelson Rocha dos Santos,M,32.0,168.0,51.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,0,-8.81,-19.69,8.91
1490,57802,29594,"Osmiro ""Osmar"" Barbosa dos Santos",M,27.0,175.0,65.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,0,-5.52,-7.02,2.35
1491,57817,29604,Vtor Hugo Silva Mouro dos Santos,M,20.0,185.0,74.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,0,7.94,-0.42,-5.67
1492,57822,29606,Wilson David dos Santos,M,29.0,188.0,74.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,,0,0,8.66,3.2,5.07
1493,57833,29611,Csaba Dosa,M,17.0,190.0,77.0,Romania,ROU,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's High Jump,,0,0,3.68,-1.53,-5.5
1494,57937,29651,Dou Zhaobo,M,20.0,175.0,65.0,China,CHN,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",,0,0,-4.21,-0.47,-4.68
1495,57968,29664,Ladji Doucour,M,21.0,183.0,75.0,France,FRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-3.13,-5.53,-4.23
1496,57969,29664,Ladji Doucour,M,25.0,183.0,75.0,France,FRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-4.38,-5.36,-0.57
1497,57970,29664,Ladji Doucour,M,29.0,183.0,75.0,France,FRA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-3.71,-4.94,3.31
1498,57993,29677,Caimin Christian Douglas,M,23.0,179.0,82.0,Netherlands Antilles,AHO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,0,1.21,8.23,-1.61
1499,58059,29712,Troy Douglas,M,25.0,172.0,76.0,Bermuda,BER,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,0,0,-6.96,5.3,0.93
1500,58060,29712,Troy Douglas,M,29.0,172.0,76.0,Bermuda,BER,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,0,-8.98,4.22,4.7
1501,58062,29712,Troy Douglas,M,33.0,172.0,76.0,Bermuda,BER,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,0,-8.52,3.98,8.35
1502,58067,29716,Ahmed Yves Douhou,M,19.0,190.0,94.0,Cote d'Ivoire,CIV,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,0,11.72,19.74,-5.93
1503,58083,29725,Bassirou Doumbia,M,22.0,179.0,67.0,Senegal,SEN,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,,0,0,3.44,-3.13,-1.8
1504,58100,29737,"Konstantinos Alexandros ""Kostas"" Douvalidis-Ricks",M,21.0,181.0,78.0,Greece,GRE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-6.38,-2.36,-4.57
1505,58101,29737,"Konstantinos Alexandros ""Kostas"" Douvalidis-Ricks",M,25.0,181.0,78.0,Greece,GRE,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-5.71,-1.94,-0.69
